"Name","Line","Zones","NoteLength","Reasons","Preview"
"Reet","97","""Bastok Markets""","1859","very long; instruction wording; wiki markup","Notes: Offers General Information and a Map of Bastok: :I am charged with the task of assisting novice adventurers. What would you like to know? :*""How do I give items to people?"": Giving items ot other people is called ..."
"Auroral Alicorn","4640","""Jugner Forest (S)""","1775","very long; instruction wording","Notes: * If its horn is currently broken, when the zone becomes engaged in a campaign battle, it will run away. *Soultrapper can be used on Auroral Alicorn. *Checks as Impossible to Gauge. *Has movement speed equal to Da..."
"Tico Karimakiba","1193","""Windurst"", ""Windurst Woods""","1598","very long; wiki markup","Notes: thumb|100px|MonstersOffers Information on Monster Relationships: :Hey! What do you want? Don't tell me... You heard that I have a monster correlation chart and came to beg me to show it to you, rrright? :*""Yes."": ..."
"Kagetora (S)","3389","""Battle"", ""Freelance"", ""Varies: Batallia Downs (S)""","1587","very long; instruction wording","Notes: * If independent, he will remain in one of the three above zones, he will not change his location until a tally is done. If a Campaign battle is in progress, he will disappear until it is over. *Battles with Utsus..."
"Royal Palliator","3407","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S), East Ronfaure (S), Jugner Forest (S), Vunkerl Inlet (S), The Eldieme Necropolis (S), Batallia Downs (S)""","1572","very long; instruction wording","Notes: * Appears in Campaign battles along with another dispatched unit (except the Gold Badger Esquire) in areas under San d'Orian control; they never appear as a standalone unit. *They will cast Blink, Phalanx, Stonesk..."
"Guilboire","707","""San d'Oria"", ""Southern San d'Oria""","1507","very long; instruction wording; wiki markup","Notes: thumb|100px|MonstersOffers Information on Monster Relationships: :Hrmm... Good eyes, friend. I thought my presence unknown, but you found me. You are fortunate... For my knowledge of the enemy, culled from many ye..."
"Mythily","252","""Metalworks""","1495","very long; instruction wording; wiki markup","Notes: Cost to Change Allegiance When Bastok is in: *1st Place in Conquest - 40,000g *2nd Place in Conquest - 12,000g *3rd Place in Conquest - 4,000g Restrictions: *When changing allegiance, you retain all conquest point..."
"Dalzakk (S)","3379","""Battle"", ""Freelance"", ""Sauromugue Champaign (S) (wandering)""","1454","very long; instruction wording","Notes: * Dalzakk appears in the present during various cutscenes. * Battle Cry: Hiiiiii-yah! * Uses a powerful One Inch Punch every few seconds instead of meleeing. * When near defeat, Oggbi may appear and assist him. Ma..."
"Field Woundpatcher","3264","""Bastok (S)"", ""Bastok Markets (S), North Gustaberg (S), Grauberg (S), Pashhow Marshlands (S), Crawlers' Nest (S), Rolanberry Fields (S)"", ""Battle""","1444","very long; instruction wording; wiki markup","Notes: :*Appears in Campaign battles along with another dispatched unit (except the 4th Legionnaire) in areas under Bastok's control; they never appear as a standalone unit. :*They will cast Blink, Phalanx, Stoneskin, Ra..."
"Ulmia","1737","""Tavnazian Safehold""","1355","very long","Involved in Quests: * Storms of Fate * Apocalypse Nigh Involved in Missions: * Promathia Mission 2-3: Distant Beliefs * Promathia Mission 2-4: An Eternal Melody * Promathia Mission 2-5: Ancient Vows * The Road Forks: The..."
"Leonoyne","2634","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S)""","1350","very long","Notes: * Commands the Savage Hound Condotties, an all female unit that appear to be Dark Knights. *Leonoyne is among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once San d'Oria regains most..."
"Jack of Spades","1108","""Windurst"", ""Windurst Woods""","1331","very long; instruction wording; wiki markup","Notes: Can be traded Adventurer Coupon for those starting in Windurst Woods. Offers General Information and a Map of Windurst: :Allow me to assist you if you are lost. What can Jack do for you? :*""To show you a map of Wi..."
"Prishe","1724","""Battle"", ""Cutscene"", ""Tavnazian Safehold""","1303","very long","Involved in Quests: * Storms of Fate * Apocalypse Nigh * VW Op. 026: Tavnazian Terrors * VW Op. 004: Bibiki Bombardment * A Chocobo's Tale * In the Mood for Love * Hook, Line, and Sinker Involved in Missions: * Promathia..."
"Rakano-Marukano","4487","""Heavens Tower, Administration Room"", ""Windurst""","1303","very long; instruction wording; wiki markup","Notes: Cost to Change Allegiance when Windurst is in: :1st Place in Conquest - 40,000g :2nd Place in Conquest - 12,000g :3rd Place in Conquest - 4,000g *The taru is right inside the room with the door that says Clerical ..."
"Porter Moogle","535","""Northern San d'Oria""","1301","very long; instruction wording","Notes: Find a nearby Porter Moogle and talk to him and select the option to buy a Slip. Once you find the slip you want you select it and confirm your selection. Each slip will cost you 1000 gil to buy. After purchasing ..."
"Dannion","4819","""Metalworks (?-?)""","1299","very long; instruction wording","Notes: Appears in Cut-Scene during a run at Bait and Switch when the Pocket watch is selected to begin the quest. Quotes: After triggering the first switch: ""That Salim is a slave driver! I don't think I'll have a free m..."
"Scylla Brigade Healer","3412","""Battle"", ""Beaucedine Glacier (S), Xarcabard (S)"", ""Jeuno (S)""","1286","very long; instruction wording; wiki markup","Notes: :*Appears in Campaign battles along with another dispatched unit in Northland areas under Allied control; they never appear as a standalone unit. :*They will cast Blink, Phalanx, Stoneskin, Raise, and up to Protec..."
"Beriphaule","439","""Northern San d'Oria"", ""San d'Oria""","1271","very long; instruction wording; wiki markup","Notes: Cost to Change Allegiance When San d'Oria is in: *1st Place in Conquest - 40,000g *2nd Place in Conquest - 12,000g *3rd Place in Conquest - 4,000g Notes: *When changing allegiance, you retain all conquest points. ..."
"Cid","211","""Metalworks""","1261","very long","Starts Quests: * Cid's Secret * Dark Puppet * Shoot First, Ask Questions Later Involved in Quests: * Chips * Hyper Active * Vegetable Vegetable Revolution * Vegetable Vegetable Crisis * Vegetable Vegetable Frustration In..."
"Jack of Clubs","5192","""Port Windurst (D,E-6)(Near Orastery entrance)"", ""Windurst""","1261","very long; instruction wording; wiki markup","Notes: Offers General Information and a Map of Windurst: :Allow me to assist you if you are lost. What can Jack do for you? :*""To show you a map of Windurst."": [Displays an overview map of Windurst] :*""How to give items ..."
"Jack of Diamonds","985","""Windurst"", ""Windurst Walls""","1261","very long; instruction wording; wiki markup","Notes: Offers General Information and a Map of Windurst: :Allow me to assist you if you are lost. What can Jack do for you? :*""To show you a map of Windurst."": [Displays an overview map of Windurst] :*""How to give items ..."
"Jack of Hearts","5658","""Windurst"", ""Windurst Waters map = North|G-9""","1261","very long; instruction wording; wiki markup","Notes: Offers General Information and a Map of Windurst: :Allow me to assist you if you are lost. What can Jack do for you? :*""To show you a map of Windurst."": [Displays an overview map of Windurst] :*""How to give items ..."
"Willah Maratahya","1657","""Mhaura""","1253","very long","Notes: * Will change your Title for a fee or can give you a random title for free. *For a full list of titles, which you can get with this NPC, see Titles. *Titles this NPC can give include these not listed in Titles **3..."
"Toh Zonikki","3612","""Bibiki Bay - Purgonorgo Isle"", ""Outland""","1250","very long; instruction wording","Notes: The mithra manages Clamming - using a bucket and water to find items. She can sell and upgrade your Clamming kit up to 200 pz. Beginning - Toh Zonikki: ""Welcome to Purrrgonorgo, pardner! How'd ya like to try yer h..."
"Anja-Enja","1044","""Windurst"", ""Windurst Waters""","1241","very long; instruction wording; wiki markup","Notes: Offers Directions Around Town: :Hiya! Are you lost or something? If you're in trouble, Anja-Enja's here to helpy-welpy! :*""Nothing right now."": Well, if you ever need help, feel free to ask one of us guards. Helpi..."
"Shantotto","1028","""Windurst"", ""Windurst Walls""","1238","very long","Starts Quests: * Curses, Foiled Again! * Curses, Foiled...Again!? * Curses, Foiled A-Golem!? * Blood and Glory Involved in Quests: * Nothing Matters * Wonder Wands * SMN AF2: Class Reunion * BLM AF1: The Three Magi * BLM..."
"Esmallegue","692","""San d'Oria"", ""Southern San d'Oria""","1229","very long","Notes: Offers Information on San d'Oria's Military: Greetings, adventurer. San d'Oria is grateful for your services. I am Royal Squire Esmallegue. Grand Knight Depardal has left his post as sentry in the Outlands. For no..."
"Combat Salvemixer","3376","""Battle"", ""Windurst (S)"", ""Windurst Waters (S), West Sarutabaruta (S), Fort Karugo-Narugo (S), Meriphataud Mountains (S), Garlaige Citadel (S), Sauromugue Champaign (S)""","1203","very long; instruction wording; wiki markup","Notes: :*Appears in Campaign battles along with another dispatched unit (except the Piscean Casters) in areas under Windurst's control; they never appear as a standalone unit. :*They will cast Blink, Phalanx, Stoneskin, ..."
"Ephemeral Moogle","691","""Southern San d'Oria""","1169","very long; instruction wording; wiki markup","Notes: Storing Crystals :1. The first time you visit an Ephemeral Moogle, speak to him and hear what he has to say. :2. Trade crystals or clusters to the Ephemeral Moogle. :*Crystals count as one crystal, while clusters ..."
"Resauchamet","1729","""Tavnazian Safehold""","1132","very long","Notes: :Provides information about a character's Fomor Hate level. :""You are an adventurer... I can smell the dark blood of the undead as it drips slowly from your soiled garments. Beware, my friend, for you are not alon..."
"Yulon-Polon","1596","""Selbina""","1130","very long","Notes: * Will change your Title for a fee or can give you a random title for free. *For a full list of titles, which you can get with this NPC, see Titles. *Titles this NPC can give include these not listed in Titles (li..."
"Nashmeira","2177","""Al Zahbi"", ""Cutscene"", ""Imperial Ward""","1118","very long","Starts Quests: * Forging a New Myth Involved in Quests: * Saga of the Skyserpent * Soothing Waters * Coming Full Circle * Waking the Colossus * Divine Interference * The Rider Cometh * Unwavering Resolve * A Stygian Pact..."
"Vingijard","1382","""Jeuno"", ""Lower Jeuno""","1083","very long; instruction wording","Notes: Vingijard allows players to repeat Artifact Armor quests for a cost of 10,000 gil. Artifact Armor quests for a job can only be reset after all 6 AF pieces have been acquired. *This includes the 3 main AF quests, t..."
"World Shifter","1528","""Ru'Lude Gardens"", ""Special Event""","1077","very long; instruction wording","Notes: When Square Enix has decided that a server is over-populated, a World Shifter will appear, for a period of time, and offer to register characters for migration to a less-populated server. At a pre-defined time, re..."
"Adelheid","2515","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","1074","very long; instruction wording; wiki markup","Notes: :* Appears during Campaign Battles in Grauberg (S) and Bastok Markets (S) as the leader of the 2nd Legion Scouts. Also appears in Ruhotz Silvermines during the quest Fire in the Hole. :* Summons various status ail..."
"Shihu-Danhu","2205","""Al Zahbi""","1073","very long; instruction wording; wiki markup","Notes: thumb|Oops... *He will warp you for free to an area near Jeuno. The actual destination is random: ** Ru'Lude Gardens (H-9) ** Batallia Downs (K-8) ** Rolanberry Fields (J-6) ** Sauromugue Champaign (F-5) ** Qufim ..."
"Abquhbah","1953","""Aht Urhgan Whitegate"", ""Al Zahbi""","1044","very long","Starts Quests: * Promotion: Lance Corporal * Promotion: Chief Sergeant Involved in Quests: * Promotion: Private First Class * Promotion: Sergeant Major * Promotion: Second Lieutenant * Promotion: First Lieutenant * An Im..."
"Read me","4853","""Mordion Gaol""","1031","very long","Notes: This NPC is spawned as part of an automated anti-cheating system (RMT-PWNER) called the Auto-Jailer introduced in December 2008 [http://www.playonline.com/pcd/topics/ff11us/detail/4008/detail.html] When a characte..."
"Harara, W.W.","1099","""Windurst"", ""Windurst Woods""","984","very long; instruction wording; wiki markup","Notes: Main Conquest related NPC for Windurst citizens ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for f..."
"Rabid Wolf, I.M.","94","""Bastok Markets""","980","very long; instruction wording; wiki markup","Notes: Main Conquest related NPC for Bastok citizens. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Recharges Empress Band, Chariot Band, and Emperor Band. :*Accepts traded Crystals for f..."
"Poroggo Prince","2716","""Freelance"", ""Windurst Waters (S)""","962","very long","Notes: ""Ribbit! Ribbit!"" *Appears in campaign battle if the Poroggo Servant is successfully influenced. *Uses assorted black magic *Assisted by 3 Poroggo Servants *After using Providence, he will use the extra spells inc..."
"Achantere, T.K.","420","""Northern San d'Oria"", ""San d'Oria""","942","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the..."
"Aravoge, T.K.","660","""San d'Oria"", ""Southern San d'Oria""","942","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the..."
"Arpevion, T.K.","662","""San d'Oria"", ""Southern San d'Oria""","942","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the..."
"Lion","1858","""Cut scenes only"", ""Cutscene"", ""Norg""","940","very long","Involved in Quests: * Apocalypse Nigh Involved in Missions: * San d'Oria Mission 2-3: Journey Abroad * Bastok Mission 2-3: The Emissary * Windurst Mission 2-3: The Three Kingdoms * San d'Oria Mission 4-1: Magicite * Bast..."
"Milma-Hapilma, W.W.","889","""Port Windurst"", ""Windurst""","936","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Windurst Mission-Rank bar (the red..."
"Puroiko-Maiko, W.W.","5722","""Windurst"", ""Windurst Waters map = North|G-5""","936","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Windurst Mission-Rank bar (the red..."
"Helga","229","""Metalworks""","931","very long; instruction wording","Notes: Offers Information on The Republican Military: Greetings, adventurer. I am Gold Musketeer first captain, Helga. Would you like me to give you a simple brefing on the Republican Military? Yes.> The Republican milit..."
"Flying Axe, I.M.","319","""Port Bastok""","930","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Bastok Mission-Rank bar (the red bar..."
"Macro Test","3324","""Batallia Downs""","926","very long","Notes: * Batallia Downs: 2 Cardians *Rolanberry Fields: 3 Cardians *Sauromugue Champaign: 3 Cardians The Cardians live just outside the exits from Jeuno. As the name implies, their intended purpose is to allow players to..."
"Crying Wind, I.M.","138","""Bastok Mines""","921","very long; instruction wording; wiki markup","Notes: ;Notes for characters with Bastok as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Bastok Mission-Rank bar (the red bar at t..."
"Atarefaunet","1670","""Cutscenes only"", ""Tavnazian Safehold""","919","very long","Involved in Quests: * The Tenshodo Showdown * Hitting the Marquisate * Signed in Blood * Tea with a Tonberry? * Apocalypse Nigh Involved in Missions: * San d'Oria Mission 2-3: Infiltrate Davoi * Bastok Mission 2-3: The E..."
"Tenzen","4238","""Far East""","877","very long","Involved in Missions: * Promathia Mission 3-2: Vessel Without a Captain * Promathia Mission 3-5: Darkness Named * Promathia Mission 4-1: Sheltering Doubt * Promathia Mission 4-2: The Savage * Promathia Mission 4-3: The S..."
"Pulse Martello","2943","""Abyssea"", ""near Veridical Conflux #00 in: :Abyssea - Attohwa""","874","very long; instruction wording","Notes: These martellos can be found near the military camps at Conflux #00 in Scars of Abyssea areas. Pulse Martellos are associated with Bastion, being the cornerstone of the resistance effort and under constant attack ..."
"Mieuseloir B Enchelles","2642","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S)""","847","very long","Notes: Appears during offensive Campaign Battles as the leader of the Crimson Wolf Esquires. *Mieuseloir appears to be a Dark Knight/Paladin, who wields Ragnarok. **Melee attacks have a constant Endrain, sapping between ..."
"Momiji","1350","""Jeuno"", ""Lower Jeuno""","841","very long","Notes: To anyone who listens to her, Momiji recounts her youth spent with her lover, whom she describes as a shy, quiet boy. She will then remark that it is only the perspective of old age that has taught her the importa..."
"Trust: Sakura","3519","""Battle""","837","very long; wiki markup","Notes: * Produces an invisible aura which gradually restores HP and increases combat skill gain rate.[http://forum.square-enix.com/ffxi/threads/40822-Freshly-Picked-Vana%E2%80%99diel-5-Digest?s=f2ff1d0a8d450cd90e484f7aed..."
"Bartabaq","4986","""Oldton Movalpolos""","836","very long; instruction wording; wiki markup","Notes: Appears, when Movalpolos is under weekly conquest-control by one of the three nations. - ""Welkome to my vorder shop!"" - ""Kome vack again sometime!"" Bartabaq is not a typical Outpost Vendor. She only sells items, w..."
"Striking Bull","2588","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","835","very long; instruction wording; wiki markup","Notes: :* Appears during Campaign Battles in Rolanberry Fields (S) as captain of the 2nd Legion Grenadiers. :* Has a very low attack delay. :* Stands back and spams Mistral Axe for 400-800 damage; however, sometimes he e..."
"Horst","1240","""Abyssea"", ""Port Jeuno""","834","very long; instruction wording","Notes: * Can tell you the status of the resistance in Scars of Abyssea areas. *Can teleport you to Cavernous Maws for some Cruor. **Will only give you the option to teleport to a maw if you have watched the cutscene trig..."
"Zahsa Syalmhaia","1207","""Windurst"", ""Windurst Woods""","828","very long","Notes: Dialogue: I am Zahsa Syalmhaia, captain of the mercenaries in charge of defending East Sarutabaruta. And now, a question for you, adventurer--might you know the reason why Windurst's Mithran population is concentr..."
"Cherukiki","1675","""Tavnazian Safehold""","827","very long","Involved in Missions: * Promathia Mission 2-1: An Invitation West * Promathia Mission 2-2: The Lost City * Promathia Mission 2-3: Distant Beliefs * Promathia Mission 2-5: Ancient Vows * The Road Forks: The Road Forks * P..."
"Kukki-Chebukki","1700","""Tavnazian Safehold""","827","very long","Involved in Missions: * Promathia Mission 2-1: An Invitation West * Promathia Mission 2-2: The Lost City * Promathia Mission 2-3: Distant Beliefs * Promathia Mission 2-5: Ancient Vows * The Road Forks: The Road Forks * P..."
"Makki-Chebukki","1704","""Tavnazian Safehold""","827","very long","Involved in Missions: * Promathia Mission 2-1: An Invitation West * Promathia Mission 2-2: The Lost City * Promathia Mission 2-3: Distant Beliefs * Promathia Mission 2-5: Ancient Vows * The Road Forks: The Road Forks * P..."
"Cerane I Virgaut","2611","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S)""","824","very long; instruction wording","Notes: * Appears in Campaign Battles as the leader of the Aragoneu Knights. *Wields Aegis, and does very large damage with Shield Bash, Up to 2000 points of damage. *Casts Protect IV, Shell IV, Cure IV, Stoneskin and Pha..."
"Bartholomaus","2522","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","806","very long; instruction wording; wiki markup","Notes: :* Can appear in all Campaign Battles for Bastok (S) as the leader of the 1st Iron Musketeers. :*Bartholomaus is among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) once Bastok regains..."
"Halver","406","""Chateau d'Oraguille"", ""San d'Oria""","798","very long","Starts Quests: * Fit for a Prince * Adventurer Appreciation Campaign 2010 * Her Memories: Grave Resolve Involved in Quests: * Blackmail * Lure of the Wildcat (San d'Oria) * The Holy Crest * A Timely Visit Starts Missions..."
"Maximilian","2565","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","797","very long; instruction wording; wiki markup","Notes: :* Holds the title of 1st Division's Legatus which makes him Commander in Chief of the 1st Division/Legion of the Republican Army. :* Shares his unique face-type with Brandolf. :* Can appear in all Campaign Battle..."
"Zurim","1895","""Norg""","794","very long; instruction wording","Notes: Standing next to Oseem in their alcove beneath the wooden footbridge. *Tells players their running total of Domain Points. *Explains how players may earn Domain Points and the daily limits of rewards from Domain I..."
"Glarociquet, T.K.","225","""Metalworks""","792","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the..."
"Panoquieur, T.K.","1147","""Windurst"", ""Windurst Woods""","792","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the..."
"Chapal-Afal, W.W.","449","""Northern San d'Oria"", ""San d'Oria""","786","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Windurst Mission-Rank bar (the red..."
"Lexun-Marixun, W.W.","243","""Metalworks""","786","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Windurst Mission-Rank bar (the red..."
"Sachetan, I.M.","924","""Port Windurst"", ""Windurst""","780","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Bastok Mission-Rank bar (the red bar..."
