"Name","Type","Zones","Location","Info","Note","Icon"
"2nd Legionnaire","Campaign Battle ally NPC","Bastok (S); Battle; North Gustaberg (S)","North Gustaberg (S)","Notes:
Participates in offensive Campaign Battles in North Gustaberg (S). Casts Dark Knight spells (such as Absorb-TP), but uses polearm weaponskills at least up to Skewer.","Notes:
Participates in offensive Campaign Battles in North Gustaberg (S). Casts Dark Knight spells (such as Absorb-TP), but uses polearm weaponskills at least up to Skewer.",""
"3rd Legionnaire","Campaign Ally","Bastok (S); Battle; North Gustaberg (S) during Campaign","North Gustaberg (S) during Campaign","","",""
"4th Legionnaire","Campaign Battle NPC","Bastok (S); Varies","Varies","Notes:
*Appears during Campaign Battles as part of the Fourth Division Centurion unit. *In areas under allied control, they will deliver supplies to the fortifications and warp out. *In areas under beastman control, they will attempt to bomb the fortifications. *They will attempt to construct an Allied Belfry in offensive Campaign battles when Bastok's technological level allows.","Notes:
*Appears during Campaign Battles as part of the Fourth Division Centurion unit. *In areas under allied control, they will deliver supplies to the fortifications and warp out. *In areas under beastman control, they will attempt to bomb the fortifications. *They will attempt to construct an Allied Belfry in offensive Campaign battles when Bastok's technological level allows.",""
"7th Cohor Legionnaire","","Bastok (S); Battle; Everbloom Hollow","Everbloom Hollow","Involved in Missions:
- A Nation on the Brink (WOTG14)

Notes:
*Fights alongside Zazarg during the mission A Nation on the Brink.","Involved in Missions:
- A Nation on the Brink (WOTG14)

Notes:
*Fights alongside Zazarg during the mission A Nation on the Brink.",""
"8th Iron Musketeer","Campaign Battle ally NPC","Bastok (S); Battle; Crawlers' Nest (S), North Gustaberg (S), Bastok Markets (S), Grauberg (S)","Crawlers' Nest (S), North Gustaberg (S), Bastok Markets (S), Grauberg (S)","Notes:
Participates in offensive Campaign Battles in Crawlers' Nest, following Kurt. Uses Ranged Attacks and Ninjutsu.","Notes:
Participates in offensive Campaign Battles in Crawlers' Nest, following Kurt. Uses Ranged Attacks and Ninjutsu.",""
"A.M.A.N. Reclaimer","","*{{location|Bastok Markets|E-11","*{{location|Bastok Markets|E-11","Notes:
A.M.A.N. Reclaimers exchange armour and weapons from certain areas for Reclamation Marks. Upon accumulating 1,000 Reclamation Marks, they will be automatically converted to 1 Copper Voucher, and automatically stored with the A.M.A.N. NPCs. They accept Armour and Weapons from the following areas: *Alluvion Skirmish *Delve *Domain Invasion *Geas Fete *:High-Tier Mission Battlefields *Reive *Skirmish *Sinister Reign *Unity Concord/Wanted NM (only battles added on or after the Thursday, January 15, 2015 version update) *Vagary","Notes:
A.M.A.N. Reclaimers exchange armour and weapons from certain areas for Reclamation Marks. Upon accumulating 1,000 Reclamation Marks, they will be automatically converted to 1 Copper Voucher, and automatically stored with the A.M.A.N. NPCs. They accept Armour and Weapons from the following areas: *Alluvion Skirmish *Delve *Domain Invasion *Geas Fete *:High-Tier Mission Battlefields *Reive *Skirmish *Sinister Reign *Unity Concord/Wanted NM (only battles added on or after the Thursday, January 15, 2015 version update) *Vagary",""
"Aaveleon","Quest NPC","On the road to Ghelsba Outpost in West Ronfaure; San d'Oria","On the road to Ghelsba Outpost in West Ronfaure (G-6)","Involved in Quests:
- A Sentry's Peril","Involved in Quests:
- A Sentry's Peril",""
"Aaveleon (A)","","Abyssea; Roams Abyssea - La Theine. Has been seen running through","Roams Abyssea - La Theine. Has been seen running through (D-7) to (J-9)","Involved in Quests:
- Out of Touch","Involved in Quests:
- Out of Touch",""
"Abbudin","","Bastok; Metalworks","Metalworks G-9","","",""
"Abby Jalunshi","MogHouse Watcher","Windurst; Windurst Woods","Windurst Woods F-8","Notes:
Checking Abby_Jalunshi will start a conversation with her about Mog Houses. She give you 2 options to start- :: *Nothing in General :: *Ask for an explanation on Mog houses. If you choose the ""Nothing in General option, she will just say: ""Oh Well, Your Loss"" and turn away. If you choose the Other option she says: ""A mogHouse is your own personal apartment room provided for your convienience. Within your MogHouse you can store items, change jobs, and heal up any HP or MP","Notes:
Checking Abby_Jalunshi will start a conversation with her about Mog Houses. She give you 2 options to start- :: *Nothing in General :: *Ask for an explanation on Mog houses. If you choose the ""Nothing in General option, she will just say: ""Oh Well, Your Loss"" and turn away. If you choose the Other option she says: ""A mogHouse is your own personal apartment room provided for your convienience. Within your MogHouse you can store items, change jobs, and heal up any HP or MP",""
"Abd-al-Raziq","Guild Master","Bastok; Bastok Mines","Bastok Mines L-7","Involved in Quests:
- Lost Chick

Involved in Missions:
- That Which Curdles Blood

Notes:
:*Sign you up for the Alchemy Guild :*Accept the items you need to turn in, to go up in rank for the Alchemy Guild.","Involved in Quests:
- Lost Chick

Involved in Missions:
- That Which Curdles Blood

Notes:
:*Sign you up for the Alchemy Guild :*Accept the items you need to turn in, to go up in rank for the Alchemy Guild.",""
"Abda-Lurabda","Puppet Name Changer","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-7 - Automaton Shop","Involved in Missions:
- Aht Urhgan Mission 9: Undersea Scouting

Notes:
*Tarutaru working hard to be the best Puppet Scientist. *Speaking with him as Puppetmaster will allow you to obtain the option to change your puppetname for 9800 gil. For a complete list of names, see Automaton.","Involved in Missions:
- Aht Urhgan Mission 9: Undersea Scouting

Notes:
*Tarutaru working hard to be the best Puppet Scientist. *Speaking with him as Puppetmaster will allow you to obtain the option to change your puppetname for 9800 gil. For a complete list of names, see Automaton.",""
"Abeaule","Quest Giver NPC","Northern San d'Oria; San d'Oria","Northern San d'Oria F-8, Phoenix Perch Inn.","Starts Quests:
- The Trader in the Forest
- The Medicine Woman","Starts Quests:
- The Trader in the Forest
- The Medicine Woman",""
"Abelard","Quest Giver NPC","Selbina","Selbina G-9","Starts Quests:
- An Explorer's Footsteps

Involved in Quests:
- Chasing Dreams
- Signed in Blood

Involved in Missions:
- RoV 1-1-3 - Set Free
- RoV 1-1-4 - The Beginning","Starts Quests:
- An Explorer's Footsteps

Involved in Quests:
- Chasing Dreams
- Signed in Blood

Involved in Missions:
- RoV 1-1-3 - Set Free
- RoV 1-1-4 - The Beginning",""
"Abenzio","","Campaign battles; Freelance","Campaign battles","Involved in Quests:
- Babban Ny Mheillea

Notes:
* May assist Babban Ny Mheillea during campaign battles in Windurst Waters (S), Southern San d'Oria (S), and Bastok Markets (S).{{verification","Involved in Quests:
- Babban Ny Mheillea

Notes:
* May assist Babban Ny Mheillea during campaign battles in Windurst Waters (S), Southern San d'Oria (S), and Bastok Markets (S).{{verification",""
"Abhrem","Soul Reflector Manager","Pankration; The Colosseum - The Pit","The Colosseum - The Pit (G-7) next to Kadjayhal","Notes:
*Provides services related to Soul Reflector creation, upgrades and naming.","Notes:
*Provides services related to Soul Reflector creation, upgrades and naming.",""
"Abihaal","","Nashmau","Nashmau H-9 - Located at the pier entrance.","Notes:
Provides access to the ferry pier, for 100 gil.","Notes:
Provides access to the ferry pier, for 100 gil.",""
"Abioleget","Quest Giver NPC","Northern San d'Oria; San d'Oria","Northern San d'Oria M-6","Starts Quests:
- The Vicasque's Sermon
- Her Memories: The Faux Pas","Starts Quests:
- The Vicasque's Sermon
- Her Memories: The Faux Pas",""
"Abobo","","Heavens Tower; Windurst","Heavens Tower","","",""
"Abquhbah","Adventurer's Assistant - Mercenary Rank","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-10; upstairs","Starts Quests:
- Promotion: Lance Corporal
- Promotion: Chief Sergeant

Involved in Quests:
- Promotion: Private First Class
- Promotion: Sergeant Major
- Promotion: Second Lieutenant
- Promotion: First Lieutenant
- An Imperial Heist
- Coming Full Circle
- The Rider Cometh
- Unwavering Resolve
- A Stygian Pact

Involved in Missions:
- Aht Urhgan Mission 11: Imperial Schemes
- Aht Urhgan Mission 12: Royal Puppeteer
- Aht Urhgan Mission 17: Guests of the Empire
- Aht Urhgan Mission 18: Passing Glory
- Aht Urhgan Mission 19: Sweets for the Soul
- Aht Urhgan Mission 21: Finders Keepers
- Aht Urhgan Mission 23: Social Graces
- Aht Urhgan Mission 24: Foiled Ambition
- Aht Urhgan Mission 26: Seal of the Serpent
- Aht Urhgan Mission 33: Sentinels' Honor
- Aht Urhgan Mission 34: Testing the Waters
- Aht Urhgan Mission 37: Path of Blood
- Aht Urhgan Mission 38: Stirrings of War
- Aht Urhgan Mission 43: Fangs of the Lion
- Aht Urhgan Mission 46: Imperial Coronation
- Aht Urhgan Mission 48: Eternal Mercenary

Notes:
Abquhbah is the assistant of Naja Salaheem and the NPC who coordinates mercenary affairs. Ask him for your actual progress for the next Rank Promotion. - ""How often did he meet Naja's spiky friend? Hmmmm?"" Topics: ;Mercenaries:A Mercenary is a character who lives at the mercy of President Naja... ;Salaheem's Sentinel: The only mercenary group with direct authorization of the Empress herself. Company flyer of Naja says all: ""Super dooper, the best of the East"" ;The Commissions Agency: Agency for the Assault Missions; introduce yourself for more information ;Salary:Imperial Standing for credits Mercenary Assessments: Abquhbah will tell you indirectly how many points you will need until your next Mercenary Rank promotion. As you progress, you will receive the following dialogues. ;0-7 points:""At your current pace, you'll be doomed to a meeting with President Naja's spiky “friend.” If you want to dig yourself out of that pit, you've got to hit the Commissions Agency and run up some successful Assault missions.... (That's the only option left to you...)"" ;8-11 points:""Hmmm. You seem to be out of the woods as far as being beaten to a pulp goes, but you're still somewhere south of the middle."" ;12-18 points:""Hello... Seems someone has been a good little mercenary. You have some glowing reports from the Commissions Agency here. You've finally pulled yourself up to the borderline between worthless pile of beaten pulp and respectable employee."" ;19-24 points:""Let's see now. A few more successful missions and the president herself might have a word with you. Keep this up and the next mercenary rank is not far off!"" When you are able to rank up, you will be told: :""Hello, hello. You'll be hearing from President Naja any day now! (Poor thing, you'll wish you'd stayed a worthless pile of beaten pulp...)"" President Naja: You get the three rules of the Sentinels: ;Article 1: “Follow President Naja's orders without question!” ;Article 2: “Fulfill President Naja's requests without fail!” ;Article 3: “Run President Naja's errands without complaint!” Once you reach the rank of Lance Corporal, Abquhbah will begin offering information regarding President Naja: *At the rank of Lance Corporal, Abquhbah will mention that Naja's favorite food is fish. He says her best memory is eating raw Gugrusaurus with Rock Salt and Olive Oil. *At the rank of Sergeant Major, Abquhbah will describe what Naja would be doing at a particular time of day: in the morning, the afternoon, or the evening. This dialog reveals that President Naja prefers two cups of Imperial Coffee in the morning. *At the rank of Chief Sergeant, Abquhbah will inform you that Naja's favorite dessert is Sutlac +1 and Irmik Helvasi +1. Trade either of these items to Naja Salaheem to be rewarded with a scroll of Instant Reraise. Note that this cannot be done if you go higher in rank than CS. Abquhbah will talk about other things, and you'll have missed your chance. Trading to Naja without being prompted does NOT work. *At the rank of Second Lieutenant, Abquhbah will tell you that Naja is originally from Zwha, a nation far to the south (presumably in Olzhirya). He explains that his speculations about why she made the trip to Aht Urhgan have made it difficult to sleep, and asks for help curing his insomnia. He asks for a cup of Chamomile Tea, Healing Tea or Mary's Milk. He hopes he doesn't have to resort to using a Sleeping Potion. Trading a cup of Chamomile Tea to Abquhbah (~1:00-3:00, ~9:30 worked) is rewarded with a scroll of Instant Warp. Trading Mary's Milk at 03:40 was rewarded with a scroll of Instant Reraise.","Starts Quests:
- Promotion: Lance Corporal
- Promotion: Chief Sergeant

Involved in Quests:
- Promotion: Private First Class
- Promotion: Sergeant Major
- Promotion: Second Lieutenant
- Promotion: First Lieutenant
- An Imperial Heist
- Coming Full Circle
- The Rider Cometh
- Unwavering Resolve
- A Stygian Pact

Involved in Missions:
- Aht Urhgan Mission 11: Imperial Schemes
- Aht Urhgan Mission 12: Royal Puppeteer
- Aht Urhgan Mission 17: Guests of the Empire
- Aht Urhgan Mission 18: Passing Glory
- Aht Urhgan Mission 19: Sweets for the Soul
- Aht Urhgan Mission 21: Finders Keepers
- Aht Urhgan Mission 23: Social Graces
- Aht Urhgan Mission 24: Foiled Ambition
- Aht Urhgan Mission 26: Seal of the Serpent
- Aht Urhgan Mission 33: Sentinels' Honor
- Aht Urhgan Mission 34: Testing the Waters
- Aht Urhgan Mission 37: Path of Blood
- Aht Urhgan Mission 38: Stirrings of War
- Aht Urhgan Mission 43: Fangs of the Lion
- Aht Urhgan Mission 46: Imperial Coronation
- Aht Urhgan Mission 48: Eternal Mercenary

Notes:
Abquhbah is the assistant of Naja Salaheem and the NPC who coordinates mercenary affairs. Ask him for your actual progress for the next Rank Promotion. - ""How often did he meet Naja's spiky friend? Hmmmm?"" Topics: ;Mercenaries:A Mercenary is a character who lives at the mercy of President Naja... ;Salaheem's Sentinel: The only mercenary group with direct authorization of the Empress herself. Company flyer of Naja says all: ""Super dooper, the best of the East"" ;The Commissions Agency: Agency for the Assault Missions; introduce yourself for more information ;Salary:Imperial Standing for credits Mercenary Assessments: Abquhbah will tell you indirectly how many points you will need until your next Mercenary Rank promotion. As you progress, you will receive the following dialogues. ;0-7 points:""At your current pace, you'll be doomed to a meeting with President Naja's spiky “friend.” If you want to dig yourself out of that pit, you've got to hit the Commissions Agency and run up some successful Assault missions.... (That's the only option left to you...)"" ;8-11 points:""Hmmm. You seem to be out of the woods as far as being beaten to a pulp goes, but you're still somewhere south of the middle."" ;12-18 points:""Hello... Seems someone has been a good little mercenary. You have some glowing reports from the Commissions Agency here. You've finally pulled yourself up to the borderline between worthless pile of beaten pulp and respectable employee."" ;19-24 points:""Let's see now. A few more successful missions and the president herself might have a word with you. Keep this up and the next mercenary rank is not far off!"" When you are able to rank up, you will be told: :""Hello, hello. You'll be hearing from President Naja any day now! (Poor thing, you'll wish you'd stayed a worthless pile of beaten pulp...)"" President Naja: You get the three rules of the Sentinels: ;Article 1: “Follow President Naja's orders without question!” ;Article 2: “Fulfill President Naja's requests without fail!” ;Article 3: “Run President Naja's errands without complaint!” Once you reach the rank of Lance Corporal, Abquhbah will begin offering information regarding President Naja: *At the rank of Lance Corporal, Abquhbah will mention that Naja's favorite food is fish. He says her best memory is eating raw Gugrusaurus with Rock Salt and Olive Oil. *At the rank of Sergeant Major, Abquhbah will describe what Naja would be doing at a particular time of day: in the morning, the afternoon, or the evening. This dialog reveals that President Naja prefers two cups of Imperial Coffee in the morning. *At the rank of Chief Sergeant, Abquhbah will inform you that Naja's favorite dessert is Sutlac +1 and Irmik Helvasi +1. Trade either of these items to Naja Salaheem to be rewarded with a scroll of Instant Reraise. Note that this cannot be done if you go higher in rank than CS. Abquhbah will talk about other things, and you'll have missed your chance. Trading to Naja without being prompted does NOT work. *At the rank of Second Lieutenant, Abquhbah will tell you that Naja is originally from Zwha, a nation far to the south (presumably in Olzhirya). He explains that his speculations about why she made the trip to Aht Urhgan have made it difficult to sleep, and asks for help curing his insomnia. He asks for a cup of Chamomile Tea, Healing Tea or Mary's Milk. He hopes he doesn't have to resort to using a Sleeping Potion. Trading a cup of Chamomile Tea to Abquhbah (~1:00-3:00, ~9:30 worked) is rewarded with a scroll of Instant Warp. Trading Mary's Milk at 03:40 was rewarded with a scroll of Instant Reraise.",""
"Acacia","","Batallia Downs","Batallia Downs K-8","Notes:
The Smilebringer Boot Camp will continue even after the conclusion of the Starlight Celebration, albeit with some changes in appearance and content. Smile sergeants will sport new attire, collect a participation fee in gil, and offer a different set of rewards for successful completion of the training.","Notes:
The Smilebringer Boot Camp will continue even after the conclusion of the Starlight Celebration, albeit with some changes in appearance and content. Smile sergeants will sport new attire, collect a participation fee in gil, and offer a different set of rewards for successful completion of the training.",""
"Ace of Batons","Cutscene NPC","Cutscene; Windurst","","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.",""
"Ace of Batons (S)","Campaign Battle NPC","Battle; West Sarutabaruta (S); Windurst","West Sarutabaruta (S)","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.",""
"Ace of Coins (S)","Campaign Battle NPC","Battle; West Sarutabaruta (S); Windurst","West Sarutabaruta (S)","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.",""
"Ace of Cups","Cutscene NPC","Cutscene; Windurst","","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.",""
"Ace of Cups (S)","Campaign Battle NPC","Battle; West Sarutabaruta (S); Windurst","West Sarutabaruta (S)","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.",""
"Ace of Swords","Cutscene NPC","Cutscene; Windurst","","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","Involved in Missions:
- Windurst Mission 1-2: The Heart of the Matter
- Windurst Mission 2-1: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King
- Windurst Mission 9-1: Doll of the Dead
- Windurst Mission 9-2: Moon Reading

Notes:
*One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.",""
"Ace of Swords (S)","Campaign Battle NPC","Battle; West Sarutabaruta (S); Windurst","West Sarutabaruta (S)","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.","Notes:
*Summoned by Zonpa-Zippa during Campaign battles.",""
"Ace of Wands","Cutscene NPC","Cutscene; Windurst","","Involved in Missions:
- Windurst Mission 8-2: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King","Involved in Missions:
- Windurst Mission 8-2: Lost for Words
- Windurst Mission 8-2: The Jester Who'd Be King",""
"Achantere, T.K.","Conquest Overseer","Northern San d'Oria; San d'Oria","Northern San d'Oria C-8","Notes:
;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the red bar at the character's profile) :*Sells items for Conquest Points (Items for San d'Oria) at certain conditions. It will be also possible to get some items of other Nations (Items for Bastok / Items for Windurst) at the guards, if your current Allegiance ranks higher at the weekly Conquest results (for further information see under the items articles) :*Starts Supply Run Missions and offers a list of already delivered supplies :*Starts an Expeditionary Force by giving an E.F. region insignia to you :*Explains the Conquest system by choosing some available questions. ;Notes for characters only without San d'Oria as current Allegiance: :*Doesn't offer any function For further information see Conquest Overseer.","Notes:
;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the red bar at the character's profile) :*Sells items for Conquest Points (Items for San d'Oria) at certain conditions. It will be also possible to get some items of other Nations (Items for Bastok / Items for Windurst) at the guards, if your current Allegiance ranks higher at the weekly Conquest results (for further information see under the items articles) :*Starts Supply Run Missions and offers a list of already delivered supplies :*Starts an Expeditionary Force by giving an E.F. region insignia to you :*Explains the Conquest system by choosing some available questions. ;Notes for characters only without San d'Oria as current Allegiance: :*Doesn't offer any function For further information see Conquest Overseer.",""
"Achika","Tenshodo Merchant","Norg","Norg I-8","Notes:
*Open: 9:00 - 23:00 *No longer closed Darksday. *Must be a member of the Tenshodo to buy from this merchant.","Notes:
*Open: 9:00 - 23:00 *No longer closed Darksday. *Must be a member of the Tenshodo to buy from this merchant.",""
"Achtelle","","East Ronfaure (S); Freelance","East Ronfaure (S) H-11 __NOTOC__ Notes: Uses Impulse Drive Weapon Skill Assisted by Bravo. Maruna-Kurina's Notes: Achtelle is a young Elvaan wyverness from Adoulin Isle to the west, the proud keeper-weepers of the last of the dragoon tradition. The draketamers there herald her as the most skilled of their order. Since youth, she has held the legendary Ranperre of San d'Oria in highestaru esteem, and can oft be found seeking solace near his tomb. I can promise you she would eagerly accept any type of present related to the king she so reveres. I hear it told she longs for nothing more than to find some surviving-wiving dragoons, that they might together preserve their heritage. How to Influence: Speak to her with Dragoon set as your main job. Quotes: ""It is said the tomb of King Ranperre lies beyond here. The legend himself, said to have broken the mighty Vrtra. I wished to pay my respects."" When spoken to as DRG: ""Are you ... a dragoon!? That is a most welcome relief. I had come to ascertain for myself whether or not there are still those to carry on the ways of our kind."" During Campaign Battle: ""Come now, Bravo! It's high time we taught these beasts what a wyvern is truly capable of!"" When Allied: ""I go by the name Achtelle. I hail from Adoulin Isle. Word has reached there that the dragoons and their wyverns have long since disappeared from these eastern lands. Tell me, is it true?"" *When allied with the Kingdom of San d'Oria, Achtelle is near the East Ronfaure (S) gate at (L-9) of Southern San d'Oria (S). *When allied with the Republic of Bastok, she stands near the South Gustaberg gate at (D-11) of Bastok Markets (S). *When allied with the Federal Forces of Windurst, Achtelle can be found at (H-8) of Windurst Waters (S) south.","","",""
