Type,Count,Status,Suggestion,Sources,Examples
"Melody Minstrel",40,"review","","legacy_wiki=40","Dohhel (legacy_wiki); Gorvik (legacy_wiki); Bheva Grantih (legacy_wiki); Melledanne (legacy_wiki); Dalba (legacy_wiki); Beyzen (legacy_wiki)"
"Weather Reporter",33,"review","","legacy_wiki=15; npc=18","Eya Bhithroh (npc); Fo Mocorho (npc); Wachiwi (npc); Inthius (npc); Svana (npc); Maleme (npc)"
"Special Event",29,"review","","npc=29","Spriggan Sifter (NPC) (npc); Delightful Drake (npc); Trick Shadow (npc); Bikho Ronpotteh (npc); Valentione Single (npc); Slarin (npc)"
"VCS Chocobo Racing Associate",29,"review","","legacy_wiki=14; npc=15","Rungaga (npc); Turumi-Byrumi (npc); Monteverle (npc); Galienne (npc); Goccilo (npc); Jazgeh (npc)"
"Abyssea Support",28,"review","","legacy_wiki=14; npc=14","Erich (npc); Fabien (npc); Jerrett (npc); Joachim (npc); Horst (npc); Adrian (npc)"
"Special Event NPC",28,"review","","legacy_wiki=28","Delightful Drake (legacy_wiki); Trick Shadow (legacy_wiki); Bikho Ronpotteh (legacy_wiki); Valentione Single (legacy_wiki); Slarin (legacy_wiki); Horro (legacy_wiki)"
"Campaign Battle Ally",24,"review","","npc=24","2nd Legion Scout (npc); Maximilian (npc); Kurt (npc); Else (npc); Allied Belfry (npc); 8th Iron Musketeer (npc)"
"Riding the Clouds",22,"review","","npc=22","Taurette (npc); Gabwaleid (npc); Kupipi (npc); Raminel (npc); Raibaht (npc); Sheridan (npc)"
"Chocobo Betting",20,"review","","npc=20","Failene (npc); Olega (npc); Gerlbotz (npc); Fhaht Beablrucch (npc); Lengussant (npc); Piana (npc)"
"Serpent General",20,"review","","legacy_wiki=10; npc=10","Najelith (npc); Rughadjeen (npc); Mihli Aliapoh (npc); General Zazarg (npc); Zazarg (npc); General Najelith (npc)"
"Assault",19,"review","","legacy_wiki=4; npc=15","Black Badge Mamool Ja (npc); Zahakahm (npc); Yazuhma (npc); Qiqirn Spy (npc); Mamool Ja Governor (npc); Qiqirn Diver (npc)"
"Auction House Representative",19,"review","","legacy_wiki=19","Eliot (legacy_wiki); Sojan-Tamjan (legacy_wiki); Cavalgrinne (legacy_wiki); Goyuyu (legacy_wiki); Ferocious Artisan (legacy_wiki); Sulo Mouzho (legacy_wiki)"
"Chocobobet Center Clerk",19,"review","","legacy_wiki=19","Failene (legacy_wiki); Olega (legacy_wiki); Gerlbotz (legacy_wiki); Fhaht Beablrucch (legacy_wiki); Lengussant (legacy_wiki); Piana (legacy_wiki)"
"Moblin Maze Mongers",19,"review","","npc=19","Bouncebix (npc); Vendastox (npc); Chatnachoq (npc); Slayalox (npc); Goldagrik (npc); Tempatriq (npc)"
"Moblin Maze Mongers NPC",19,"review","","legacy_wiki=19","Bouncebix (legacy_wiki); Vendastox (legacy_wiki); Chatnachoq (legacy_wiki); Slayalox (legacy_wiki); Goldagrik (legacy_wiki); Tempatriq (legacy_wiki)"
"Cutscene",18,"review","","legacy_wiki=18","Cyranuce (legacy_wiki); Alphonimile (legacy_wiki); Vailanice (legacy_wiki); Neosaliat (legacy_wiki); Jayramus (legacy_wiki); Zogbog (legacy_wiki)"
"New Year Event",18,"review","","npc=18","Ake (npc); Taruger (npc); Auspicious Cub (npc); Pyru-Copyru (npc); Joyous Alicorn (npc); Auspicious Tigress (npc)"
"Holiday Event",17,"review","","catseye_item=2; catseye_npc=3; npc=12","Wrapping Helper (catseye_npc); Delivery Helper (catseye_npc); Courier Helper (catseye_npc); Mimima (npc); Egbert (npc); Elulu (npc)"
"Reputation",17,"review","","npc=17","Ney Hiparujah (npc); Gulemont (A) (npc); Flaco (npc); Honoi-Gomoi (A) (npc); Parnika (A) (npc); Namonutice (npc)"
"Reputation NPC",17,"review","","legacy_wiki=17","Ney Hiparujah (legacy_wiki); Gulemont (A) (legacy_wiki); Flaco (legacy_wiki); Honoi-Gomoi (A) (legacy_wiki); Parnika (A) (legacy_wiki); Zabirego-Hajigo (legacy_wiki)"
"Freelance",16,"review","","legacy_wiki=8; npc=8","Areuhat (npc); Ferreous Coffin (npc); Babban Ny Mheillea (npc); Maruna-Kurina (npc); Rainemard (S) (npc); Lewenhart (S) (npc)"
"Promenade Assistant",16,"review","","legacy_wiki=8; npc=8","Delaulne (npc); Curtis (npc); Channon (npc); Gustavo (npc); Russel (npc); Mercedes (npc)"
"CW Starting Quest",15,"review","","catseye_npc=14; npc=1","Bardus (catseye_npc); Perah Celehsi (catseye_npc); Archimedes (catseye_npc); Hermin-Harmon (catseye_npc); Perara (catseye_npc); Shining Stone (catseye_npc)"
"Campaign Ally",14,"review","","legacy_wiki=3; npc=11","Camlin (npc); Abenzio (npc); Bryher (npc); Momowa (npc); Babban's Progeny (npc); Iron Ram Knight (npc)"
"Residence Renter",13,"review","","legacy_wiki=6; npc=7","Machitata (npc); Yurugu-Homurugu (npc); Shinchai-Tocchai (npc); Boronene (npc); Miladi-Nildi (npc); Zekobi-Morokobi (npc)"
"Teleport Service",12,"review","","npc=12","Domenic (npc); Sleakachiq (npc); Pattsu-Yabittsu (npc); Komulili (npc); Tonana (npc); Alib-Mufalib (npc)"
"Campaign Battle ally NPC",11,"review","","legacy_wiki=11","2nd Legion Scout (legacy_wiki); Allied Belfry (legacy_wiki); 8th Iron Musketeer (legacy_wiki); 2nd Legionnaire (legacy_wiki); 1st Legionnaire (legacy_wiki); 1st Gold Musketeer (legacy_wiki)"
"Campaign Leader",11,"review","","npc=11","Provincial Knight General Virgaut (npc); Cerane I Virgaut (npc); Rahal (S) (npc); Reserve Knight General Leonoyne (npc); Maximilian Berger (npc); Republic Chief of Staff Sturm (npc)"
"Event Host",11,"review","","npc=11","Fandango (npc); Rokor-Makor (npc); Prince Yahiko (npc); Mumor (npc); Klaas (npc); Diva (npc)"
"Room Renter",11,"review","","legacy_wiki=5; npc=6","Wurteh (npc); Pulloie (npc); Leonie (npc); Krujaal (npc); Hildith (npc); Loulia (npc)"
"Campaign Battle Ally NPC",10,"review","","legacy_wiki=10","Maximilian (legacy_wiki); Kurt (legacy_wiki); Else (legacy_wiki); Ludwig (S) (legacy_wiki); Bartholomaus (legacy_wiki); Adelheid (legacy_wiki)"
"Chocobo Circuit Grandstand Attendant",10,"review","","legacy_wiki=10","Perdric (legacy_wiki); Boirie (legacy_wiki); Azainnie (legacy_wiki); Odersille (legacy_wiki); Flige (legacy_wiki); Foulneporde (legacy_wiki)"
"Chocobo Racing",10,"review","","npc=10","Perdric (npc); Boirie (npc); Azainnie (npc); Odersille (npc); Flige (npc); Foulneporde (npc)"
"Consulate Representative",10,"review","","legacy_wiki=3; npc=7","Helaku (npc); Kasaroro (npc); Galahad (npc); Chantain (npc); Melek (npc); Patt-Pott (npc)"
"Guild Points",10,"review","","npc=10","Ellard (npc); Fennella (npc); Samigo-Pormigo (npc); Macuillie (npc); Hauh Colphioh (npc); Andreas (npc)"
"Map Giver",10,"review","","legacy_wiki=5; npc=5","Nasheefa (npc); Tyamah (npc); Kamih Mapokhalam (npc); Kwadaaf (npc); Hamta-Iramta (npc); Nasheefa (legacy_wiki)"
"Quest Collector",10,"review","","npc=10","Nenepp (npc); Kakapp (npc); Bubupp (npc); Lulupp (npc); Popopp (npc); Mumupp (npc)"
"Airship Schedule",9,"review","","npc=9","Gabriele (npc); Bodaway (npc); Mauricio (npc); Nigel (npc); Dereck (npc); Ricaldo (npc)"
"Campaign Warrior",9,"review","","npc=9","Dusk Raider (npc); Goblin Lansquenet (npc); Qiqirn Freelance (npc); Faluuya (npc); Savage Hound Condottiere (npc); Crimson Wolf Esquire (npc)"
"Ferry Schedule",9,"review","","npc=9","Chaka Skitimah (npc); Adeben (npc); Sheadon (npc); Shadeeu (npc); Qudamahf (npc); Bhagirath (npc)"
"Monstrosity",9,"review","","npc=9","Suspicious Hume (npc); Suspicious Elvaan (npc); Aengus (npc); Maccus (npc); Suibhne (npc); Suspicious Tarutaru (npc)"
"Mythril Musketeer",9,"review","","npc=9","Nicolaus (npc); Naji (npc); Elivira Gogol (npc); Volker (S) (npc); Ulrich (npc); Volker (npc)"
"Advanced Synthesis Support",8,"review","","npc=8","Macici (npc); Hakeem (npc); Azima (npc); Jacodaut (npc); Sulbahn (npc); Terude-Harude (npc)"
"Cage Teleporter",8,"review","","legacy_wiki=4; npc=4","Niwawa (npc); Nalpupu (npc); Kumumu (npc); Kanawawa (npc); Niwawa (legacy_wiki); Nalpupu (legacy_wiki)"
"Campaign Freelance",8,"review","","legacy_wiki=4; npc=4","Kilhwch (npc); Ulla (npc); Maat (S) (npc); Degenhard (S) (npc); Kilhwch (legacy_wiki); Ulla (legacy_wiki)"
"Chocobo Circuit Associate",8,"review","","legacy_wiki=4; npc=4","Lisette (npc); Timothy (npc); Luca (npc); Khatri (npc); Lisette (legacy_wiki); Timothy (legacy_wiki)"
"Command Platform Guard",8,"review","","npc=8","Djiahlm (npc); Ghadjuyan (npc); Walzharn (npc); Hamgahn (npc); Habhayam (npc); Zhayard (npc)"
"Conquest Overseer - Bastok Outland Conquest Guard",8,"review","","legacy_wiki=8","Rattling Rain, I.M. (legacy_wiki); Ghost Talker, I.M. (legacy_wiki); Heavy Bear, I.M. (legacy_wiki); Pure Heart, I.M. (legacy_wiki); Molting Moth, I.M. (legacy_wiki); Three Steps, I.M. (legacy_wiki)"
"Door",8,"review","","legacy_wiki=4; npc=4","Door: Research Chamber (npc); Door: Amchuchu's Laboratory (npc); Inconspicuous Door (npc); Door: Svenja's Manor (npc); Door: Research Chamber (legacy_wiki); Door: Amchuchu's Laboratory (legacy_wiki)"
"Goal Tracker",8,"review","","legacy_wiki=4; npc=4","Maunadolace (A) (npc); Deadly Spider (A) (npc); Nicadio (A) (npc); Vavegallet (A) (npc); Maunadolace (A) (legacy_wiki); Deadly Spider (A) (legacy_wiki)"
"Guild Craftsman",8,"review","","legacy_wiki=2; npc=6","Degong (npc); Ronana (npc); Beadurinc (npc); Kyaa Taali (npc); Erabu-Fumulubu (npc); Lih Pituu (npc)"
"Monstrosity NPC",8,"review","","legacy_wiki=8","Suspicious Hume (legacy_wiki); Aengus (legacy_wiki); Suibhne (legacy_wiki); Teyrnon (legacy_wiki); Suspicious Tarutaru (legacy_wiki); Suspicious Galka (legacy_wiki)"
"Notorious Monster",8,"review","","npc=8","Paralyzing Tube (Mob) (npc); Hurr the Betrayer (npc); Chaos (Notorious Monster) (npc); Binding Tube (Mob) (npc); Stun Tube (npc); Erik (npc)"
"Soul Reflector Manager",8,"review","","legacy_wiki=4; npc=4","Abhrem (npc); Whashai (npc); Idjham (npc); Biwhal (npc); Abhrem (legacy_wiki); Idjham (legacy_wiki)"
"Star Onion Brigade",8,"review","","npc=8","Yafa Yaa (npc); Pichichi (npc); Papo-Hopo (npc); Chomomo (npc); Pyo Nzon (npc); Gomada-Vulmada (npc)"
"VCS Chocobo Trainer",8,"review","","legacy_wiki=4; npc=4","Pulonono (npc); Hantileon (npc); Zopago (npc); Finbarr (npc); Pulonono (legacy_wiki); Hantileon (legacy_wiki)"
"Conquest Overseer - San d'Oria Outland Conquest Guard",7,"review","","legacy_wiki=7","Prunilla, R.K. (legacy_wiki); Chilaumme, R.K. (legacy_wiki); Pilcha, R.K. (legacy_wiki); Leaufetie, R.K. (legacy_wiki); Taumiale, R.K. (legacy_wiki); Matica, R.K. (legacy_wiki)"
"Conquest Overseer - Windurst Outland Conquest Guard",7,"review","","legacy_wiki=7","Tebubu, W.W. (legacy_wiki); Cotete, W.W. (legacy_wiki); Numumu, W.W. (legacy_wiki); Chopapa, W.W. (legacy_wiki); Tottoto, W.W. (legacy_wiki); Tememe, W.W. (legacy_wiki)"
"Flavor NPC",7,"review","","npc=7","Ekhu Pesshyadha (npc); Crabauble (npc); Phyatte (npc); Gordias (npc); Klara (npc); Leonoyne (npc)"
"Harvest Festival",7,"review","","npc=7","Brian (npc); Roger (npc); Selma (npc); Guwanana (npc); Pretty Heart (npc); Gertrude (npc)"
"Special Event Coordinator",7,"review","","legacy_wiki=3; npc=4","Farmaoquaix (npc); Tree Talker (npc); Christina (npc); Atagei-Portagei (npc); Tree Talker (legacy_wiki); Christina (legacy_wiki)"
"Adventuring Fellow",6,"review","","npc=6","Gadzradd (npc); Ajahkeem (npc); Da'Vhu (npc); Luto Mewrilah (npc); Choplix (npc); Tsoo Haja the Umbra (npc)"
"Airship Travel",6,"review","","npc=6","Bruno (npc); Kameel (npc); Bhoyu Halpatacco (npc); Martin (npc); Rachocho (npc); Callort (npc)"
"Auction House (Port Jeuno)",6,"review","","legacy_wiki=6","Kouang (legacy_wiki); Basmus (legacy_wiki); Rilve-Hitolve (legacy_wiki); Veujaie (legacy_wiki); Digaga (legacy_wiki); Sapladrepoin (legacy_wiki)"
"Campaign Evaluator",6,"review","","legacy_wiki=3; npc=3","Alfred (npc); Llewellyn (npc); Annabelle (npc); Alfred (legacy_wiki); Llewellyn (legacy_wiki); Annabelle (legacy_wiki)"
"Campaign Ops",6,"review","","npc=6","Hieronymus (npc); Emhi Tchaoryo (npc); Dawn Aureola (npc); Rasdinice (npc); Mariette (npc); Beastman Ensign (npc)"
"Conflict Director",6,"review","","legacy_wiki=3; npc=3","Invincible Shield (npc); Excenmille (npc); Mhabi Molkot (npc); Invincible Shield (legacy_wiki); Excenmille (legacy_wiki); Mhabi Molkot (legacy_wiki)"
"Cutscene NPC/Summoned Avatar",6,"review","","legacy_wiki=3; npc=3","Carbuncle (NPC) (npc); Fenrir (NPC) (npc); Diabolos (NPC) (npc); Carbuncle (NPC) (legacy_wiki); Fenrir (NPC) (legacy_wiki); Diabolos (NPC) (legacy_wiki)"
"Ducal Guard",6,"review","","npc=6","High Wind (npc); Rainhard (npc); High Wind (A) (npc); Muhoho (npc); Crooked Arrow (npc); Neraf-Najiruf (npc)"
"Goblin Peddler",6,"review","","legacy_wiki=3; npc=3","Antiqix (npc); Lootblox (npc); Haggleblix (npc); Antiqix (legacy_wiki); Haggleblix (legacy_wiki); Lootblox (legacy_wiki)"
