"kind","name","type","icon","zones","location","note","info","link","worldOffsetY","worldOffsetZ","offsetX","offsetY","anchorBone"
"npc","Abobo","","","Heavens Tower|Windurst","","","","","","","","",""
"npc","Abquhbah","Mercenary Rank","Dialogue.png","Aht Urhgan Whitegate|Al Zahbi","","Starts Quests:\n* Promotion: Lance Corporal\n* Promotion: Chief Sergeant\n\nInvolved in Quests:\n* Promotion: Private First Class\n* Promotion: Sergeant Major\n* Promotion: Second Lieutenant\n* Promotion: First Lieutenant\n* An Imperial Heist\n* Coming Full Circle\n* The Rider Cometh\n* Unwavering Resolve\n* A Stygian Pact\n\nInvolved in Missions:\n* Aht Urhgan Mission 11: Imperial Schemes\n* Aht Urhgan Mission 12: Royal Puppeteer\n* Aht Urhgan Mission 17: Guests of the Empire\n* Aht Urhgan Mission 18: Passing Glory\n* Aht Urhgan Mission 19: Sweets for the Soul\n* Aht Urhgan Mission 21: Finders Keepers\n* Aht Urhgan Mission 23: Social Graces\n* Aht Urhgan Mission 24: Foiled Ambition\n* Aht Urhgan Mission 26: Seal of the Serpent\n* Aht Urhgan Mission 33: Sentinels' Honor\n* Aht Urhgan Mission 34: Testing the Waters\n* Aht Urhgan Mission 37: Path of Blood\n* Aht Urhgan Mission 38: Stirrings of War\n* Aht Urhgan Mission 43: Fangs of the Lion\n* Aht Urhgan Mission 46: Imperial Coronation\n* Aht Urhgan Mission 48: Eternal Mercenary\n\nNotes:\nAbquhbah is the assistant of Naja Salaheem and the NPC who coordinates mercenary affairs. Ask him for your actual progress for the next Rank Promotion. - ""How often did he meet Naja's spiky friend? Hmmmm?"" Topics: ;Mercenaries:A Mercenary is a character who lives at the mercy of President Naja... ;Salaheem's Sentinel: The only mercenary group with direct authorization of the Empress herself. Company flyer of Naja says all: ""Super dooper, the best of the East"" ;The Commissions Agency: Agency for the Assault Missions; introduce yourself for more information ;Salary:Imperial Standing for credits Mercenary Assessments: Abquhbah will tell you indirectly how many points you will need until your next Mercenary Rank promotion. As you progress, you will receive the following dialogues. ;0-7 points:""At your current pace, you'll be doomed to a meeting with President Naja's spiky ?friend.? If you want to dig yourself out of that pit, you've got to hit the Commissions Agency and run up some successful Assault missions.... (That's the only option left to you...)"" ;8-11 points:""Hmmm. You seem to be out of the woods as far as being beaten to a pulp goes, but you're still somewhere south of the middle."" ;12-18 points:""Hello... Seems someone has been a good little mercenary. You have some glowing reports from the Commissions Agency here. You've finally pulled yourself up to the borderline between worthless pile of beaten pulp and respectable employee."" ;19-24 points:""Let's see now. A few more successful missions and the president herself might have a word with you. Keep this up and the next mercenary rank is not far off!"" When you are able to rank up, you will be told: :""Hello, hello. You'll be hearing from President Naja any day now! (Poor thing, you'll wish you'd stayed a worthless pile of beaten pulp...)"" President Naja: You get the three rules of the Sentinels: ;Article 1: ?Follow President Naja's orders without question!? ;Article 2: ?Fulfill President Naja's requests without fail!? ;Article 3: ?Run President Naja's errands without complaint!? Once you reach the rank of Lance Corporal, Abquhbah will begin offering information regarding President Naja: *At the rank of Lance Corporal, Abquhbah will mention that Naja's favorite food is fish. He says her best memory is eating raw Gugrusaurus with Rock Salt and Olive Oil. *At the rank of Sergeant Major, Abquhbah will describe what Naja would be doing at a particular time of day: in the morning, the afternoon, or the evening. This dialog reveals that President Naja prefers two cups of Imperial Coffee in the morning. *At the rank of Chief Sergeant, Abquhbah will inform you that Naja's favorite dessert is Sutlac +1 and Irmik Helvasi +1. Trade either of these items to Naja Salaheem to be rewarded with a scroll of Instant Reraise. Note that this cannot be done if you go higher in rank than CS. Abquhbah will talk about other things, and you'll have missed your chance. Trading to Naja without being prompted does NOT work. *At the rank of Second Lieutenant, Abquhbah will tell you that Naja is originally from Zwha, a nation far to the south (presumably in Olzhirya). He explains that his speculations about why she made the trip to Aht Urhgan have made it difficult to sleep, and asks for help curing his insomnia. He asks for a cup of Chamomile Tea, Healing Tea or Mary's Milk. He hopes he doesn't have to resort to using a Sleeping Potion. Trading a cup of Chamomile Tea to Abquhbah (~1:00-3:00, ~9:30 worked) is rewarded with a scroll of Instant Warp. Trading Mary's Milk at 03:40 was rewarded with a scroll of Instant Reraise.","","","","","","",""
"npc","Acacia","Starlight Event","Event.png","Batallia Downs","","Notes:\nThe Smilebringer Boot Camp will continue even after the conclusion of the Starlight Celebration, albeit with some changes in appearance and content. Smile sergeants will sport new attire, collect a participation fee in gil, and offer a different set of rewards for successful completion of the training.","","","","","","",""
"npc","Ace of Batons","Cutscene NPC","Cutscene.png","Cutscene|Windurst","","Involved in Missions:\n* Windurst Mission 1-2: The Heart of the Matter\n* Windurst Mission 2-1: Lost for Words\n* Windurst Mission 8-2: The Jester Who'd Be King\n* Windurst Mission 9-1: Doll of the Dead\n* Windurst Mission 9-2: Moon Reading\n\nNotes:\n* One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","","","","","","",""
"npc","Ace of Batons (S)","Campaign Battle","CampaignArbiter.png","Battle|West Sarutabaruta (S)|Windurst","","Notes:\n* Summoned by Zonpa-Zippa during Campaign battles.","","","","","","",""
"npc","Ace of Coins (S)","Campaign Battle","CampaignArbiter.png","Battle|West Sarutabaruta (S)|Windurst","","Notes:\n* Summoned by Zonpa-Zippa during Campaign battles.","","","","","","",""
"npc","Ace of Cups","Cutscene NPC","Cutscene.png","Cutscene|Windurst","","Involved in Missions:\n* Windurst Mission 1-2: The Heart of the Matter\n* Windurst Mission 2-1: Lost for Words\n* Windurst Mission 8-2: The Jester Who'd Be King\n* Windurst Mission 9-1: Doll of the Dead\n* Windurst Mission 9-2: Moon Reading\n\nNotes:\n* One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","","","","","","",""
"npc","Ace of Cups (S)","Campaign Battle","CampaignArbiter.png","Battle|West Sarutabaruta (S)|Windurst","","Notes:\n* Summoned by Zonpa-Zippa during Campaign battles.","","","","","","",""
"npc","Ace of Swords","Cutscene NPC","Cutscene.png","Cutscene|Windurst","","Involved in Missions:\n* Windurst Mission 1-2: The Heart of the Matter\n* Windurst Mission 2-1: Lost for Words\n* Windurst Mission 8-2: The Jester Who'd Be King\n* Windurst Mission 9-1: Doll of the Dead\n* Windurst Mission 9-2: Moon Reading\n\nNotes:\n* One of the rogue ""Ace Cardians"" originally created by Zonpa-Zippa.","","","","","","",""
"npc","Ace of Swords (S)","Campaign Battle","CampaignArbiter.png","Battle|West Sarutabaruta (S)|Windurst","","Notes:\n* Summoned by Zonpa-Zippa during Campaign battles.","","","","","","",""
"npc","Ace of Wands","Cutscene NPC","Cutscene.png","Cutscene|Windurst","","Involved in Missions:\n* Windurst Mission 8-2: Lost for Words\n* Windurst Mission 8-2: The Jester Who'd Be King","","","","","","",""
"npc","Achantere, T.K.","Conquest Overseer","ConquestOverseer.png","Northern San d'Oria|San d'Oria","","Notes:\n;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the San d'Oria Mission-Rank bar (the red bar at the character's profile) :*Sells items for Conquest Points (Items for San d'Oria) at certain conditions. It will be also possible to get some items of other Nations (Items for Bastok / Items for Windurst) at the guards, if your current Allegiance ranks higher at the weekly Conquest results (for further information see under the items articles) :*Starts Supply Run Missions and offers a list of already delivered supplies :*Starts an Expeditionary Force by giving an E.F. region insignia to you :*Explains the Conquest system by choosing some available questions. ;Notes for characters only without San d'Oria as current Allegiance: :*Doesn't offer any function For further information see Conquest Overseer.","","","","","","",""
"npc","Achika","Tenshodo Merchant","TenshodoMerchant.png","Norg","","Notes:\n* Open: 9:00 - 23:00 *No longer closed Darksday. *Must be a member of the Tenshodo to buy from this merchant.","","","","","","",""
"npc","Achtelle","","","East Ronfaure (S)|Freelance","","","","","","","","",""
"npc","Ada","","","Bastok|Port Windurst","","","","","","","","",""
"npc","Ada (A)","","","Abyssea|Abyssea - Tahrongi","","","","","","","","",""
"npc","Adalefont","","","San d'Oria|West Ronfaure","","","","","","","","",""
"npc","Adaunel","Adventurer's Assistant","AdventurersAssistant.png","San d'Oria|Southern San d'Oria","","Involved in Quests:\n* Flyers for Regine\n\nNotes:\nthumb|100px|ConstellationsOffers Information on the Constellations: :I am the theologian Adaunel. I'm now examining this map of the sky for heresies by that so-called ""astronomer"" of Windurst! Perhaps you could assist me. Why, to spend ten years scrawling all this rubbish... What a dull place Windurst must be! Look at the star map? :*""Yes."": [Shows a map of the constellations] Then, take a deep breath, for sinister signs may lurk between the lines of this ""map."" It's a pagan myth, you see. Look, lightning from the land of ""Ramuh"" in the southwest spawns the ""Bomb"" of fire! The angry gods call ""Leviathan"" from the western sea to put it out, washing away civilization... Or so that Windurstian claims. I cannot adibe the belief that Vana'diel, blessed of Altana herself, is just another dot in the sky! I'll debunk all this at the next symposium. :*""No."": I blame you not! Why, were there thestars not fixed upon the celestial sphere, they would fall from the sky! Everyone knows that!","","","","","","",""
"npc","Addison, C.A.","Campaign","CampaignArbiter.png","Jeuno (S)|West Sarutabaruta (S)","","Notes:\n* Jeuno affiliated Campaign Arbiter. Present when Beastmen have control of West Sarutabaruta (S). *Offers Campaign Information, Campaign Allied Tags, Teleportation *Campaign Sword in front of name during Campaign","","","","","","",""
"npc","Addled Fetters","Dialogue NPC","Dialogue.png","Adoulin|Eastern Adoulin","","","","","","","","",""
"npc","Adeben","Ferry Schedule","TicketSalesperson.png","Open sea route to Al Zahbi|Outland","","Notes:\nWill tell you how long until the Ferry arrives at its destination.","","","","","","",""
"npc","Adeeha","Assault","AssaultPersonnel.png","Al Zahbi|Periqia","","Involved in Missions:\n* Wake the Puppet\n\nNotes:\n* Explains the automaton models and tallies the amount of Mark IIs retrieved.","","","","","","",""
"npc","Adelbrecht","Centurion","Guard.png","Bastok (S)|Bastok Markets (S)","","Starts Quests:\n* The Fighting Fourth\n\nInvolved in Missions:\n* Back to the Beginning\n\nNotes:\n* Adelbrecht is a Centurion of the Republican Legion.","","","","","","",""
"npc","Adelflete","Standard Merchant","StandardMerchant.png","Gems by Kshama in Lower Jeuno at|Jeuno","","","","","","","","",""
"npc","Adelheid","Campaign Battle Ally","CampaignArbiter.png","Bastok (S)|Bastok Markets (S)|Battle","","Notes:\n:* Appears during Campaign Battles in Grauberg (S) and Bastok Markets (S) as the leader of the 2nd Legion Scouts. Also appears in Ruhotz Silvermines during the quest Fire in the Hole. :* Summons various status ailment ""tubes"" (e.g. Silence Tube, Stun Tube, etc.) into the battle. These Tubes inflict a status ailment on opposing forces in an area of effect. :* Casts all Tier IV spells and all spells available to a Red Mage (Dia III, Gravity, Bind, Silence, etc.) Also uses Stun and Sleepga II. :* Like most unique generals she has a distinct weapon, in her case she wields Seveneyes. :* Uses Seraph Strike for ~200 damage, and Judgment for 500+ damage, but won't naturally walk within melee range. Also uses Moonlight and Starlight. :* Uses Tabula Rasa. :* Talk: ...Heavy infantry, five columns of 200... Two 100-knight regiments... Enemy force casualties estimated at 5,000... Oh, I apologize, soldier. I've spent the past few nights preparing for a joint operation with San d'Oria's Royal Knights. :* Battle Cry: A good soldier always comes prepared. Hehehehe!","","","","","","",""
"npc","Adelheid Sturm","Dialogue NPC","Dialogue.png","Bastok (S)|Bastok Markets (S)","","Involved in Quests:\n* Fires of Discontent\n* Light in the Darkness\n* Burden of Suspicion\n* Fire in the Hole\n\nNotes:\n* Seen eavesdropping in several Bastok Crystal War quests. ""...Heavy infantry, five columns of 200... Two 100-knight regiments... Enemy force casualties estimated at 5,000... Oh, I apologize, soldier. I've spent the past few nights preparing for a joint operation with San d'Oria's Royal Knights."" Background: The name ""Adelheid Sturm"" can actually be seen as a clever pun. Adelheid is a proper name, but ""Adel"" is phonetically identical to the English word ""addle"", meaning to confuse, and ""heid"" is very similar to the German ending ""-heit"", which is an ending expressing state of being. ""-heit"" does not have a direct English translation but is roughly equivalent to the English ending ""-ness"", although in practice it is not always translated. (E.g. with the word ""Krankenheit"", meaning ""sickness"", the -heit is carried over to English, but for ""Sicherheit"", German for ""safety"", the -heit does not survive the translation intact.) ""Sturm"" is the German word for ""Storm"". Thus, with a little imagination, one can get ""Addle Storm"", or even ""Addling Storm"", out of her name; a fitting description given her fighting technique and a worthy pun that rivals the gil reward from The Miraculous Dale.","","","","","","",""
"npc","Adelinde","Dialogue NPC","Dialogue.png","Bastok (S)|Bastok Markets (S)","","Notes:\n""The Brilioth Estate lies in the residential area. They are certainly the most notable family of dancers in these parts. They say the only daughter, Laila, is doing her dancer training now under the strict tutelage of her mother.""","","","","","","",""
"npc","Adelise","","","Adoulin|Eastern Adoulin","","","","","","","","",""
"npc","Adjutant (Bastok)","","","Bastok (S)|Bastok Markets (S)","","Involved in Missions:\n* Crystal Fist I (B)\n* Crystal Fist II (B)\n* Crystal Fist III (B)\n* Crystal Fist IV (B)\n* Iron Anvil I (B)\n* Iron Anvil II (B)\n* Iron Anvil III (B)\n* Iron Anvil IV (B)","","","","","","",""
"npc","Adjutant (San d'Oria)","","","San d'Oria (S)|Southern San d'Oria (S)","","Involved in Missions:\n* Crystal Fist I (S)\n* Crystal Fist II (S)\n* Crystal Fist III (S)\n* Crystal Fist IV (S)\n* Iron Anvil I (S)\n* Iron Anvil II (S)\n* Iron Anvil III (S)\n* Iron Anvil IV (S)","","","","","","",""
"npc","Adjutant (Windurst)","","","Windurst (S)|Windurst Waters (S) map = North|F-9","","Involved in Missions:\n* Crystal Fist I (W)\n* Crystal Fist II (W)\n* Crystal Fist III (W)\n* Crystal Fist IV (W)\n* Iron Anvil I (W)\n* Iron Anvil II (W)\n* Iron Anvil III (W)\n* Iron Anvil IV (W)","","","","","","",""
"npc","Adolie","","","Ru'Lude Gardens","","Involved in Quests:\n* Lure of the Wildcat (Jeuno)","","","","","","",""
"npc","Adrasteia","Quest Giver","QuestGiver.png","Castle Oztroja (S)|Cutscene|Outland","","Involved in Quests:\n* The Forbidden Path","","","","","","",""
"npc","Adrian","Abyssea Support","Dialogue.png","Abyssea|Chocobo Circuit","","Notes:\n* Supplies players with additional {{KeyItem","","","","","","",""
"npc","Adrienaure","Past Event Watcher","PastEventWatcher.png","Adoulin|Rala Waterways","","Notes:\nThis NPC will let you watch cut-scenes that you have seen in Rala Waterways in the past, for a small fee.","","","","","","",""
"npc","Adventuring Fellow","","","Battle","","","","","","","","",""
"npc","Aeka","","","Norg","","Involved in Quests:\n* Forge Your Destiny","","","","","","",""
"npc","Aengus","Monstrosity","GoalTracker.png","Feretory","","Involved in Quests:\n* Monstrosity (Quest)\n* Monstrosity\n\nNotes:\nThis spirit resides in the Feretory. It is the true form of the one of the possessed mannequin knowns as Suspicious Hume, Suspicious Elvaan, Suspicious Galka, or Suspicious Tarutaru.","","","","","","",""
"npc","Aeshushu","","","Heavens Tower","","","","","","","","",""
"npc","Afdeen","Battlefield Transport","Dialogue.png","Jeuno|Upper Jeuno","","Notes:\nA student of the great mage Abdhaljs, he handles transport to and the use of Abdhaljs Isle-Purgonorgo (where Brenner is played). He (as well as the Marshal behind him) will handle all Brenner-related affairs, including distribution of the Brenner Bluebook & Brenner Blackbook.","","","","","","",""
"npc","Affi","Escha Vendor","Merchant.png","Escha - Zi'Tah","","Notes:\nSells Various Items and Key Items for Escha Silt. See Geas Fete for more details.","","","","","","",""
"npc","Agado-Pugado","","","Rabao","","Starts Quests:\n* Trial by Wind\n\nInvolved in Quests:\n* Carbuncle Debacle","","","","","","",""
"npc","Agapito","Quest Giver","QuestGiver.png","Bastok|Port Bastok","","Starts Quests:\n* The Stars of Ifrit","","","","","","",""
"npc","Agatsum","Auction House","AuctionManager.png","Norg","","","","","","","","",""
"npc","Aged Stone, L.C.","Campaign","CampaignArbiter.png","Bastok (S)|East Ronfaure (S)","","Notes:\n* Bastok affiliated Campaign Arbiter. Present when Bastok (S) has control of East Ronfaure (S). *Offers Campaign Information, Campaign Allied Tags, Teleportation *Campaign Sword in front of name during Campaign","","","","","","",""
"npc","Ahaadah","Quest Giver","QuestGiver.png","Aht Urhgan Whitegate|Al Zahbi","","Starts Quests:\n* The Prankster\n\nNotes:\nAn Elvaan Alchemist, who wants to give Tinga-Matonga a lecture on life.","","","","","","",""
"npc","Ahgdeen","Cutscene NPC","Cutscene.png","Al Zahbi|Cutscene","","Involved in Quests:\n* Not Meant to Be","","","","","","",""
"npc","Ahkk Jharcham","Quest Giver","QuestGiver.png","Aht Urhgan Whitegate|Al Zahbi","","Starts Quests:\n* Keeping Notes\n\nNotes:\nMithra childs and her secrets - Shortcuts through Mog House.","","","","","","",""
"npc","Ahko Mhalijikhari","","","Maze of Shakhrami|Outland","","Involved in Quests:\n* Eco-Warrior (Windurst)","","","","","","",""
"npc","Ahyeekih","Regional Merchant","RegionalVendor.png","Windurst Waters map = North|H-10","","","","","","","","",""
"npc","Aigneis","","","Port Windurst|Windurst","","","","","","","","",""
"npc","Aihn Sowlmirih","","","Windurst (S)|Windurst Waters (S) map = North|F-9","","","","","","","","",""
"npc","Ailbeche","Quest Giver","QuestGiver.png","Northern San d'Oria|San d'Oria","","Starts Quests:\n* Father and Son\n* Sharpening the Sword\n* A Boy's Dream\n\nInvolved in Quests:\n* Under Oath\n* Son and Father\n\nNotes:\nThis NPC is involved in the storyline of the Paladin","","","","","","",""
"npc","Ailee","","","Norg","","","","","","","","",""
"npc","Ailevia","Adventurer's Assistant","AdventurersAssistant.png","San d'Oria|Southern San d'Oria","","Involved in Quests:\n* Adventurer Coupon\n\nNotes:\nOffers Directions Around Town: :This is Southern San d'Oria. I know a thing or two about these streets. Would you like to learn about this area? :*""I'm interested."": To the north stands Victory Arch. Carved from its two mighty pillars are statues that represent the two orders: the Temple Knights and the Royal Knights. Northern San d'Oria lies beyond, where you'll find Chateau d'Oraguille, the cathedral, and the consulates of our allies. West is Pikeman's Way, where you'll find shops, grocers, and the Tanners' Guild. Across from the stalls is the Westgate, which leads outside. East is Cavalry Way, where you'll find armor and weapon shops as well as a tavern. The residential area lies at the end. :*""No, thanks."" :*Trade and Adventurer Coupon to obtain 50 gil","","","","","","",""
"npc","Aishah","","","Bastok|Port Bastok","","","","","","","","",""
"npc","Aissaville","","","San d'Oria (S)|Southern San d'Oria (S)","","Involved in Missions:\n* WOTG21: Proof of Valor","","","","","","",""
"npc","Aivedoir","Dialogue NPC","Dialogue.png","Northern San d'Oria|San d'Oria","","Notes:\n""That's Funny. I could have sworn she asked me to meet her here...""","","","","","","",""
"npc","Aja-Panja","Tutorial","TutorialNPC.png","Windurst|Windurst Woods","","Notes:\nUpon checking Aja Panja you will recieve the following diologue: ::* If you want to learn how to craft bone into something useful, then you should study with us here at the Boneworker's Guild!","","","","","","",""
